Year,Month,Anomaly
1931,12,-1.684
1932,1,-2.021
1932,2,-1.630
1932,3,1.331
1932,4,-0.209
1932,5,-0.082
1932,6,0.281
1932,7,-0.802
1932,8,-0.248
1932,9,0.940
1932,10,-0.491
1932,11,2.057
1932,12,-2.825
1933,1,-2.319
1933,2,-3.265
1933,3,0.311
1933,4,-0.253
1933,5,-2.834
1933,6,-0.663
1933,7,1.130
1933,8,0.646
1933,9,-1.112
1933,10,2.117
1933,11,1.256
1933,12,0.486
1934,1,1.651
1934,2,1.553
1934,3,4.901
1934,4,3.585
1934,5,2.117
1934,6,-1.115
1934,7,0.088
1934,8,0.870
1934,9,0.227
1934,10,0.197
1934,11,0.769
1934,12,0.750
1935,1,-0.281
1935,2,0.144
1935,3,-1.924
1935,4,0.181
1935,5,-0.441
1935,6,1.113
1935,7,-0.979
1935,8,0.560
1935,9,0.692
1935,10,-1.354
1935,11,-1.692
1935,12,0.369
1936,1,1.247
1936,2,-0.593
1936,3,1.538
1936,4,1.764
1936,5,1.438
1936,6,0.633
1936,7,0.721
1936,8,0.871
1936,9,-0.066
1936,10,0.234
1936,11,0.577
1936,12,-0.537
1937,1,-5.447
1937,2,-1.979
1937,3,-0.083
1937,4,-0.465
1937,5,1.074
1937,6,0.082
1937,7,0.582
1937,8,0.728
1937,9,0.589
1937,10,0.612
1937,11,0.900
1937,12,1.833
1938,1,1.230
1938,2,-1.104
1938,3,-1.424
1938,4,0.264
1938,5,0.217
1938,6,0.482
1938,7,0.142
1938,8,0.021
1938,9,0.831
1938,10,-1.059
1938,11,-1.627
1938,12,1.277
1939,1,0.262
1939,2,-2.963
1939,3,0.533
1939,4,2.625
1939,5,0.850
1939,6,-0.044
1939,7,0.193
1939,8,1.046
1939,9,0.160
1939,10,-0.409
1939,11,1.391
1939,12,2.395
1940,1,1.638
1940,2,0.501
1940,3,1.950
1940,4,1.369
1940,5,2.176
1940,6,2.159
1940,7,-0.621
1940,8,0.629
1940,9,-1.222
1940,10,0.196
1940,11,-0.734
1940,12,1.676
1941,1,1.293
1941,2,1.151
1941,3,1.256
1941,4,-0.968
1941,5,0.924
1941,6,-1.190
1941,7,0.146
1941,8,-1.248
1941,9,-2.207
1941,10,-1.854
1941,11,1.018
1941,12,0.432
1942,1,0.417
1942,2,-1.547
1942,3,-0.307
1942,4,-0.265
1942,5,-1.344
1942,6,-0.403
1942,7,0.829
1942,8,0.392
1942,9,-0.754
1942,10,0.278
1942,11,0.354
1942,12,0.865
1943,1,0.515
1943,2,0.806
1943,3,1.291
1943,4,1.539
1943,5,0.961
1943,6,-1.959
1943,7,-0.335
1943,8,-0.912
1943,9,1.283
1943,10,-0.275
1943,11,0.577
1943,12,0.344
1944,1,-0.244
1944,2,-1.812
1944,3,-0.013
1944,4,-1.224
1944,5,-0.028
1944,6,-2.441
1944,7,-1.375
1944,8,-0.327
1944,9,0.356
1944,10,0.604
1944,11,-1.363
1944,12,0.701
1945,1,0.068
1945,2,-0.040
1945,3,-1.888
1945,4,0.179
1945,5,-0.585
1945,6,-0.440
1945,7,0.863
1945,8,-0.221
1945,9,0.386
1945,10,0.494
1945,11,-0.591
1945,12,-0.219
1946,1,-0.167
1946,2,-1.744
1946,3,-0.047
1946,4,1.646
1946,5,0.165
1946,6,-0.353
1946,7,-0.194
1946,8,0.358
1946,9,-0.183
1946,10,-2.518
1946,11,-1.818
1946,12,0.686
1947,1,-1.069
1947,2,1.384
1947,3,1.767
1947,4,1.600
1947,5,2.307
1947,6,-0.394
1947,7,-1.117
1947,8,-1.130
1947,9,0.974
1947,10,-0.257
1947,11,-1.797
1947,12,-0.614
1948,1,1.652
1948,2,-1.788
1948,3,-2.055
1948,4,-0.877
1948,5,-1.283
1948,6,-0.545
1948,7,-1.153
1948,8,-0.951
1948,9,-0.411
1948,10,-0.391
1948,11,-0.962
1948,12,-2.487
1949,1,-5.023
1949,2,-3.295
1949,3,-0.927
1949,4,2.145
1949,5,-0.001
1949,6,0.758
1949,7,-0.461
1949,8,-1.134
1949,9,0.737
1949,10,-1.401
1949,11,2.857
1949,12,-1.004
1950,1,-2.480
1950,2,0.382
1950,3,0.147
1950,4,1.622
1950,5,0.079
1950,6,-0.709
1950,7,0.418
1950,8,0.345
1950,9,-0.656
1950,10,0.843
1950,11,2.315
1950,12,2.812
1951,1,-0.037
1951,2,-0.592
1951,3,-0.095
1951,4,0.931
1951,5,0.385
1951,6,0.008
1951,7,-0.119
1951,8,-0.337
1951,9,0.825
1951,10,-0.708
1951,11,-0.142
1951,12,-1.261
1952,1,-1.890
1952,2,-0.850
1952,3,-2.469
1952,4,0.659
1952,5,1.320
1952,6,-2.148
1952,7,0.248
1952,8,0.304
1952,9,0.879
1952,10,1.908
1952,11,-1.496
1952,12,-0.375
1953,1,2.661
1953,2,-0.172
1953,3,-0.011
1953,4,-0.337
1953,5,-2.752
1953,6,-2.004
1953,7,0.675
1953,8,-1.014
1953,9,1.024
1953,10,-0.510
1953,11,1.022
1953,12,0.524
1954,1,0.295
1954,2,1.768
1954,3,-1.142
1954,4,2.258
1954,5,1.548
